id,date,user,pc,activity
{R0P4-B1IX03WU-0406PCCO},03/02/2010 08:46:00,AAF0535,PC-2408,Logon
{V6W0-B7QA41GQ-9404LEEK},03/02/2010 17:00:00,AAF0535,PC-2408,Logoff
{K6T1-R8QO63AJ-6661UNUH},03/03/2010 09:04:00,AAF0535,PC-2408,Logon
{K3K9-N2WF03QF-8572PPYS},03/03/2010 16:52:00,AAF0535,PC-2408,Logoff
{I8S9-C5GQ48BQ-1585AIGC},03/04/2010 08:47:00,AAF0535,PC-2408,Logon
{H6A5-O7IE01UW-8535YBLQ},03/04/2010 16:52:00,AAF0535,PC-2408,Logoff
{I5R8-X4PQ34GO-1078QPPS},03/05/2010 09:09:00,AAF0535,PC-2408,Logon
{Z1Q4-Y3OV81KN-1900KRLZ},03/05/2010 16:50:00,AAF0535,PC-2408,Logoff
{H4D3-M8IH86HQ-5700WBYA},03/08/2010 09:10:00,AAF0535,PC-2408,Logon
{B3U0-Z2JD05JM-2000GGLM},03/08/2010 17:04:00,AAF0535,PC-2408,Logoff
{K4L9-J1VZ04AY-6229RUOF},03/09/2010 08:46:00,AAF0535,PC-2408,Logon
{J3J4-E4RH53ET-7151QABL},03/09/2010 17:02:00,AAF0535,PC-2408,Logoff
{P9M8-W6CR76ZV-5877ENMX},03/10/2010 08:48:00,AAF0535,PC-2408,Logon
{P4X8-E8SV07CI-0726MBAJ},03/10/2010 17:02:00,AAF0535,PC-2408,Logoff
{Y4T7-V1DM16YQ-5173RSXA},03/11/2010 09:01:00,AAF0535,PC-2408,Logon
{Y9U9-F7VZ30CD-7753QLQE},03/11/2010 16:52:00,AAF0535,PC-2408,Logoff
{K6X5-A7HC82PE-4260KUPR},03/12/2010 08:48:00,AAF0535,PC-2408,Logon
{Z8U1-N6YT32DF-4956PWZP},03/12/2010 17:08:00,AAF0535,PC-2408,Logoff
{K0Z7-N0TP85LF-2959FKPJ},03/15/2010 09:00:00,AAF0535,PC-2408,Logon
{N8M3-V5UE86VH-6898EAAG},03/15/2010 17:09:00,AAF0535,PC-2408,Logoff
{I2R8-J3KE83TQ-7490UGCY},03/16/2010 09:08:00,AAF0535,PC-2408,Logon
{O9H0-V2JZ00TH-8402TYRI},03/16/2010 17:11:00,AAF0535,PC-2408,Logoff
{E9X8-V2TG05UK-0329VAZV},03/17/2010 08:49:00,AAF0535,PC-2408,Logon
{J7L9-D4MV14VP-1116FJNU},03/17/2010 17:08:00,AAF0535,PC-2408,Logoff
{E5F9-L8QQ17MV-8996YZPJ},03/18/2010 08:49:00,AAF0535,PC-2408,Logon
{T1G4-Q6RT71OU-2659BUNL},03/18/2010 17:11:00,AAF0535,PC-2408,Logoff
{S3X0-A8JH64RK-5806CYYD},03/19/2010 09:00:00,AAF0535,PC-2408,Logon
{U0T4-I9XM02PO-1478BIUK},03/19/2010 16:50:00,AAF0535,PC-2408,Logoff
{H8C5-M9UQ77PC-2572DABS},03/22/2010 08:53:00,AAF0535,PC-2408,Logon
{I1T6-N7TQ01XC-6752TTPL},03/22/2010 17:14:00,AAF0535,PC-2408,Logoff
{F1U6-B5MY05GE-7534SOQQ},03/23/2010 09:05:00,AAF0535,PC-2408,Logon
{V5G9-D0ZJ93UD-7991VJOH},03/23/2010 16:58:00,AAF0535,PC-2408,Logoff
{X8N0-G6HK36WH-5409FOHD},03/24/2010 08:50:00,AAF0535,PC-2408,Logon
{H1O0-I1FM50JV-7828UEIZ},03/24/2010 17:08:00,AAF0535,PC-2408,Logoff
{Z3Y8-V5TD37ZR-8743AYFR},03/25/2010 09:04:00,AAF0535,PC-2408,Logon
{X3Y2-I2SN91VH-7553UVMQ},03/25/2010 16:59:00,AAF0535,PC-2408,Logoff
{E0Q1-T6SF36ZJ-0965VCUJ},03/26/2010 08:48:00,AAF0535,PC-2408,Logon
{H2T0-P4TC12VL-4102DCZS},03/26/2010 17:07:00,AAF0535,PC-2408,Logoff
{A9P8-V0OZ66VS-6629EATF},03/29/2010 08:49:00,AAF0535,PC-2408,Logon
{O7V8-C5GV53PN-6696FBPA},03/29/2010 17:12:00,AAF0535,PC-2408,Logoff
{S4S8-O8KO94DR-4759OOFE},03/30/2010 08:58:00,AAF0535,PC-2408,Logon
{Y7C2-Y4NV16VT-2106WNZH},03/30/2010 16:49:00,AAF0535,PC-2408,Logoff
{B5X9-V1VS13ZJ-1549KDQR},03/31/2010 09:08:00,AAF0535,PC-2408,Logon
{R7K7-O0ZV22SS-2443CEDE},03/31/2010 17:15:00,AAF0535,PC-2408,Logoff
{O6Y4-H0MZ30TS-1884REJW},04/01/2010 08:56:00,AAF0535,PC-2408,Logon
{L4R6-G9TH90OB-7309FSBJ},04/01/2010 17:12:00,AAF0535,PC-2408,Logoff
{J5H4-I7ZY92ST-2724BWYF},04/05/2010 08:57:00,AAF0535,PC-2408,Logon
{U0R9-Q4ZE93SA-3840QVOP},04/05/2010 17:10:00,AAF0535,PC-2408,Logoff
{R2Z3-N7LT71AP-6377UPMS},04/06/2010 08:46:00,AAF0535,PC-2408,Logon
{E8B0-X2WL16JL-8445IWHU},04/06/2010 17:08:00,AAF0535,PC-2408,Logoff
{R4D3-N8KY46VH-2637XTIU},04/07/2010 08:58:00,AAF0535,PC-2408,Logon
{D6K7-J6NF91HH-9495GWHB},04/07/2010 17:07:00,AAF0535,PC-2408,Logoff
{P8I2-C5AH43SE-7196EWKJ},04/08/2010 09:06:00,AAF0535,PC-2408,Logon
{Y9R8-F0GB36UE-7535PLVL},04/08/2010 16:51:00,AAF0535,PC-2408,Logoff
{P3U7-U9UN91FA-5922QXHU},04/09/2010 09:00:00,AAF0535,PC-2408,Logon
{I2S7-A4OJ92PQ-0835WMTJ},04/09/2010 16:59:00,AAF0535,PC-2408,Logoff
{F0G8-H7TH45MG-3851SBBO},04/12/2010 08:50:00,AAF0535,PC-2408,Logon
{N4S5-O2ZE98TV-7661VIGJ},04/12/2010 16:49:00,AAF0535,PC-2408,Logoff
{U7D6-U1DZ72SH-6521OGRX},04/13/2010 09:08:00,AAF0535,PC-2408,Logon
{E7R4-C2DX07HW-2587DDYR},04/13/2010 17:04:00,AAF0535,PC-2408,Logoff
{D7P8-E3MO44WW-1347PCUY},04/14/2010 08:53:00,AAF0535,PC-2408,Logon
{X0V5-X3CM50AE-6620DJCF},04/14/2010 17:14:00,AAF0535,PC-2408,Logoff
{E7X5-S8QW55XR-5201EMTX},04/15/2010 09:01:00,AAF0535,PC-2408,Logon
{D0Y5-R9QA64JL-3540AVOE},04/15/2010 16:57:00,AAF0535,PC-2408,Logoff
{G4K3-V1WC51YB-7293ZBQK},04/16/2010 09:08:00,AAF0535,PC-2408,Logon
{Z7B3-H5IA45GE-3885TLVN},04/16/2010 17:07:00,AAF0535,PC-2408,Logoff
{F8L0-C8DO35JE-9937EAQQ},04/19/2010 08:46:00,AAF0535,PC-2408,Logon
{I5Z3-O3BY24UT-0452LNBB},04/19/2010 17:11:00,AAF0535,PC-2408,Logoff
{P7J3-W9GY66FF-3159IJIC},04/20/2010 09:11:00,AAF0535,PC-2408,Logon
{D9H4-X9DO63EV-4834NZHB},04/20/2010 16:54:00,AAF0535,PC-2408,Logoff
{S5P3-H2WC07LY-7194KJAV},04/21/2010 08:57:00,AAF0535,PC-2408,Logon
{E0D7-G1KZ23PQ-6857MDLH},04/21/2010 16:56:00,AAF0535,PC-2408,Logoff
{N1P8-P5GS45BU-5635XZOB},04/22/2010 08:53:00,AAF0535,PC-2408,Logon
{G2Y3-L5HB56XA-0795JNFF},04/22/2010 17:00:00,AAF0535,PC-2408,Logoff
{I1H3-S1YM84ZG-3966YFJE},04/23/2010 09:10:00,AAF0535,PC-2408,Logon
{N9L1-D8BQ55KS-6271GWZM},04/23/2010 16:59:00,AAF0535,PC-2408,Logoff
{T5R6-A6SZ59LW-5507CBDN},04/26/2010 09:03:00,AAF0535,PC-2408,Logon
{T5D0-I7CP73TW-1126ZLWV},04/26/2010 16:51:00,AAF0535,PC-2408,Logoff
{U7D0-K7HC64EP-0627QMAZ},04/27/2010 08:58:00,AAF0535,PC-2408,Logon
{O0V3-G5FE35WP-0502PCFD},04/27/2010 17:11:00,AAF0535,PC-2408,Logoff
{L5B6-B0ZC61HT-0555HSSI},04/28/2010 08:59:00,AAF0535,PC-2408,Logon
{E8G6-X8CN67JD-7365VHVC},04/28/2010 16:52:00,AAF0535,PC-2408,Logoff
{T4M2-X4EV02GD-1073YDBU},04/29/2010 09:06:00,AAF0535,PC-2408,Logon
{K7V1-I6KP57VQ-2785MGNT},04/29/2010 17:00:00,AAF0535,PC-2408,Logoff
{G8O8-K5ZZ35JM-9683CRNG},04/30/2010 08:55:00,AAF0535,PC-2408,Logon
{X6K9-F9NB17BD-2755RNLX},04/30/2010 17:09:00,AAF0535,PC-2408,Logoff
{D5J0-S8RZ55JK-6001CZKM},05/03/2010 09:09:00,AAF0535,PC-2408,Logon
{H9G4-N1ET16PV-5382PRUX},05/03/2010 16:50:00,AAF0535,PC-2408,Logoff
{F5W4-L5IJ13XO-4552AZNC},05/04/2010 09:02:00,AAF0535,PC-2408,Logon
{J8D5-Y5EN93WM-2464ODRQ},05/04/2010 17:00:00,AAF0535,PC-2408,Logoff
{H2O9-T1IR14PS-3552XESF},05/05/2010 09:03:00,AAF0535,PC-2408,Logon
{D9I9-S6IC82SU-7774LESI},05/05/2010 17:00:00,AAF0535,PC-2408,Logoff
{E8T6-Z8EO49LP-5765TSFS},05/06/2010 09:07:00,AAF0535,PC-2408,Logon
{C8G2-P1DR15XE-3534GJWX},05/06/2010 16:50:00,AAF0535,PC-2408,Logoff
{M5K2-L3EI90AN-7511LCZT},05/07/2010 09:08:00,AAF0535,PC-2408,Logon
{P5L5-R8ZZ91QO-1703QZNK},05/07/2010 16:59:00,AAF0535,PC-2408,Logoff
{M1P5-U1KH33WA-8999PVFC},05/10/2010 08:49:00,AAF0535,PC-2408,Logon
{Z4A9-Z0NM83IQ-0921QZFC},05/10/2010 16:51:00,AAF0535,PC-2408,Logoff
{E4S2-Q2VI64LA-4058EOPQ},05/11/2010 08:57:00,AAF0535,PC-2408,Logon
{E0Q5-U6DN39SZ-8892IXQY},05/11/2010 17:01:00,AAF0535,PC-2408,Logoff
{K0D7-C5SU38KN-1339HPTH},05/12/2010 09:03:00,AAF0535,PC-2408,Logon
{E6P1-P2LL67HX-4478HFZA},05/12/2010 16:54:00,AAF0535,PC-2408,Logoff
{X5V9-S1VP75BU-8712IZRP},05/13/2010 08:55:00,AAF0535,PC-2408,Logon
{X3L8-N3XH02AB-8384XVXO},05/13/2010 17:11:00,AAF0535,PC-2408,Logoff
{F6Z0-S7WH75QL-7446ZFPM},05/14/2010 08:57:00,AAF0535,PC-2408,Logon
{J1K0-M3XS92TA-1423UXAX},05/14/2010 17:01:00,AAF0535,PC-2408,Logoff
{B4U9-P2LO95AD-5989WCEV},05/17/2010 09:00:00,AAF0535,PC-2408,Logon
{D4F7-N3RD56TF-6941VKAC},05/17/2010 16:51:00,AAF0535,PC-2408,Logoff
{Y2U5-Q5KJ55MF-5763UOVM},05/18/2010 08:54:00,AAF0535,PC-2408,Logon
{L4Q7-P7MZ71KX-6197UROS},05/18/2010 16:58:00,AAF0535,PC-2408,Logoff
{Y2J2-U7UD53DY-5342UOOE},05/19/2010 08:46:00,AAF0535,PC-2408,Logon
{U1I9-M5EW49DQ-9882ZGGQ},05/19/2010 16:54:00,AAF0535,PC-2408,Logoff
{Q3Z0-V5WL36DE-6916NXGU},05/20/2010 08:49:00,AAF0535,PC-2408,Logon
{Z4O6-O3IC75GE-0883QOJE},05/20/2010 16:58:00,AAF0535,PC-2408,Logoff
{Q5F3-O6GV94UB-2831FKBQ},05/21/2010 08:55:00,AAF0535,PC-2408,Logon
{E0M8-V0BN67XL-1204ZOEN},05/21/2010 17:11:00,AAF0535,PC-2408,Logoff
{A3Z1-K8ZP88YQ-2507PEST},05/24/2010 08:49:00,AAF0535,PC-2408,Logon
{P4L3-H0OB31PA-8536UVRU},05/24/2010 17:13:00,AAF0535,PC-2408,Logoff
{W1N1-C0XI56HP-9546YUXC},05/25/2010 09:07:00,AAF0535,PC-2408,Logon
{K1U7-L6SM38KQ-6217YVCS},05/25/2010 16:56:00,AAF0535,PC-2408,Logoff
{C9W6-C2UF80RW-2131JYVI},05/26/2010 09:03:00,AAF0535,PC-2408,Logon
{N4J9-D0MZ30CS-4254YEFW},05/26/2010 17:00:00,AAF0535,PC-2408,Logoff
{C7G1-Y3UR04ZE-1512EZXN},05/27/2010 08:48:00,AAF0535,PC-2408,Logon
{D2Z3-G4IB71PS-9524VNCM},05/27/2010 17:11:00,AAF0535,PC-2408,Logoff
{K4H3-W6KO51WK-9141EMNC},05/28/2010 08:48:00,AAF0535,PC-2408,Logon
{A3I0-D9QD77WH-9099AKBQ},05/28/2010 17:15:00,AAF0535,PC-2408,Logoff
{I2E3-L7CJ86UN-0966OZCK},06/01/2010 08:59:00,AAF0535,PC-2408,Logon
{T0D6-X5HD57JR-1901RFMJ},06/01/2010 16:55:00,AAF0535,PC-2408,Logoff
{E7G5-Z0UZ27LZ-8079UUWY},06/02/2010 08:54:00,AAF0535,PC-2408,Logon
{E5F5-N5AV61CH-0779JPHC},06/02/2010 17:08:00,AAF0535,PC-2408,Logoff
{X9S1-S0EU41DV-0030ORMZ},06/03/2010 08:53:00,AAF0535,PC-2408,Logon
{X2C4-V1PF94CC-3158HOKD},06/03/2010 17:04:00,AAF0535,PC-2408,Logoff
{P9Q7-R4OV77MI-3475GSLH},06/04/2010 08:51:00,AAF0535,PC-2408,Logon
{I6F9-I6JZ09ZP-8343ZQGQ},06/04/2010 17:01:00,AAF0535,PC-2408,Logoff
{I2W6-O9KE02VO-1617GFDQ},06/07/2010 08:50:00,AAF0535,PC-2408,Logon
{L7S6-H5AO81IF-7100MGPX},06/07/2010 17:09:00,AAF0535,PC-2408,Logoff
{L4N5-J8FK69JT-0280YWMF},06/08/2010 09:11:00,AAF0535,PC-2408,Logon
{D2X7-J3IA22ZB-2352SUQG},06/08/2010 16:59:00,AAF0535,PC-2408,Logoff
{X1A8-T5EF39YZ-1209NUQK},06/09/2010 08:55:00,AAF0535,PC-2408,Logon
{X4P3-V1KQ43VT-2516PXVL},06/09/2010 17:04:00,AAF0535,PC-2408,Logoff
{S7K7-A0UF44ON-6240AGTO},06/10/2010 08:55:00,AAF0535,PC-2408,Logon
{Z1K4-Y2HG97FF-2107PEZQ},06/10/2010 17:08:00,AAF0535,PC-2408,Logoff
{E0D1-F8SJ21XW-7721NXIO},06/11/2010 08:55:00,AAF0535,PC-2408,Logon
{E6P9-Q2AJ35EF-8725SBVC},06/11/2010 17:00:00,AAF0535,PC-2408,Logoff
{F3C7-S3OP81IK-8527PODQ},06/14/2010 08:57:00,AAF0535,PC-2408,Logon
{B5K2-N6IF84LQ-5294NSXI},06/14/2010 17:08:00,AAF0535,PC-2408,Logoff
{R2S9-Y2KP16YC-8105FHAP},06/15/2010 08:46:00,AAF0535,PC-2408,Logon
{S5Q7-U9UE02JT-1316RXDP},06/15/2010 17:05:00,AAF0535,PC-2408,Logoff
{A7E9-S6ZP53ZV-0823KAGD},06/16/2010 09:11:00,AAF0535,PC-2408,Logon
{X4D5-Q4AT32KV-3148IEKU},06/16/2010 17:06:00,AAF0535,PC-2408,Logoff
{G3G3-S3LT72PH-6706UPSN},06/17/2010 09:09:00,AAF0535,PC-2408,Logon
{V1T9-C7HU95EV-4918MGJW},06/17/2010 16:54:00,AAF0535,PC-2408,Logoff
{I4M3-B9CP39LH-2496NLYV},06/18/2010 09:01:00,AAF0535,PC-2408,Logon
{S9E2-U0OF83UH-0300ZOLE},06/18/2010 16:51:00,AAF0535,PC-2408,Logoff
{Z0Z4-A9AO61OB-1096DWHR},06/21/2010 08:52:00,AAF0535,PC-2408,Logon
{H2L6-Y7SV52HV-8385CMQT},06/21/2010 17:08:00,AAF0535,PC-2408,Logoff
{B2R0-W7II92YE-6750OBIW},06/22/2010 08:47:00,AAF0535,PC-2408,Logon
{C6O5-X9XT36KE-2114DZFZ},06/22/2010 17:14:00,AAF0535,PC-2408,Logoff
{H0Y2-F1LN39LK-3732VHON},06/23/2010 08:56:00,AAF0535,PC-2408,Logon
{S2H8-B0LN84FR-3005XECT},06/23/2010 17:04:00,AAF0535,PC-2408,Logoff
{N8R3-B8CP12FB-4148LPZL},06/24/2010 09:09:00,AAF0535,PC-2408,Logon
{O6B8-P1BF11NO-0254TWWT},06/24/2010 17:14:00,AAF0535,PC-2408,Logoff
{B3G6-W2MQ62VX-3529GKEQ},06/25/2010 08:57:00,AAF0535,PC-2408,Logon
{I1R8-H7BS39EV-0305NFCS},06/25/2010 17:13:00,AAF0535,PC-2408,Logoff
{W2R6-K4RW79OB-1916VTHU},06/28/2010 08:48:00,AAF0535,PC-2408,Logon
{T8I3-X5CU86GA-2189AVQJ},06/28/2010 17:04:00,AAF0535,PC-2408,Logoff
{Z3O2-X5CV22OD-1770ZTII},06/29/2010 09:08:00,AAF0535,PC-2408,Logon
{R2F4-Y2SC80ZM-4914GHGZ},06/29/2010 16:56:00,AAF0535,PC-2408,Logoff
{W1D1-I7MU54QE-2744DMIL},06/30/2010 09:08:00,AAF0535,PC-2408,Logon
{W4C3-K2YC66PF-0597TEXV},06/30/2010 16:52:00,AAF0535,PC-2408,Logoff
{L9S3-Q2ZI63AP-8350CPDT},07/01/2010 08:52:00,AAF0535,PC-2408,Logon
{J4M9-Q5EO53KS-7566GJDP},07/01/2010 17:08:00,AAF0535,PC-2408,Logoff
{R8A6-T9QT08ZD-2870GCBM},07/02/2010 08:57:00,AAF0535,PC-2408,Logon
{X3C6-G9CR41IR-5351UDXJ},07/02/2010 17:12:00,AAF0535,PC-2408,Logoff
{K9U1-T8HF93QJ-3636KKUR},07/06/2010 08:51:00,AAF0535,PC-2408,Logon
{W0M0-H4MV76FA-8748CJFX},07/06/2010 17:00:00,AAF0535,PC-2408,Logoff
{M0O8-T4AZ61MT-5577TXDS},07/07/2010 09:05:00,AAF0535,PC-2408,Logon
{N3B7-L3XS51AN-2348FJVD},07/07/2010 16:59:00,AAF0535,PC-2408,Logoff
{B4X4-D4JX91WL-2436FHQZ},07/08/2010 08:55:00,AAF0535,PC-2408,Logon
{R7X0-I3EC87SN-8168KGFE},07/08/2010 16:53:00,AAF0535,PC-2408,Logoff
{M4R9-M3NA01NA-1963AZLK},07/09/2010 09:11:00,AAF0535,PC-2408,Logon
{I1N7-X3EU69AW-3660XSVV},07/09/2010 16:49:00,AAF0535,PC-2408,Logoff
{I8I6-T7YB22EZ-8925QWSZ},07/12/2010 09:01:00,AAF0535,PC-2408,Logon
{Y2T7-Y6LM72CV-3565CXIE},07/12/2010 16:55:00,AAF0535,PC-2408,Logoff
{J8J0-O1YI65AV-5596PJXG},07/13/2010 09:02:00,AAF0535,PC-2408,Logon
{S7Q5-M1TX15VP-5441UMTQ},07/13/2010 16:53:00,AAF0535,PC-2408,Logoff
{Y0A5-C9VS01QD-2750VLEV},07/14/2010 09:07:00,AAF0535,PC-2408,Logon
{Q1K1-M1RA55TS-1733QHQF},07/14/2010 17:00:00,AAF0535,PC-2408,Logoff
{I3R9-D3JT07TI-6699TOIP},07/15/2010 08:47:00,AAF0535,PC-2408,Logon
{Z7I4-H4GD49AN-0723LYVX},07/15/2010 17:07:00,AAF0535,PC-2408,Logoff
